Title,Ingredients
ayam ukep bumbu sederhana,"ayam broiler , bawang putih , biji ketumbar , kunyit , garam , gula , air"
tongseng ati ampela ayam,"potong hati ampela ayam dibalut usus , minyak goreng , air , bawang putih , bawang merah , cabe rawit , cabe merah keriting , kemiri , biji ketumbar , jahe , lengkuas , daun salam , lada , garam , penyedap , kecap manis , pala"
ayam penyet ala sy,"ayam potong bersh , ktumbar bbuk , bawang putih , bawang merah , laus , daun salm , garam , jeruk nipis , bhn sambl ulek , cabe merah , cabe rawit , tomat merah , terasi bkar , jeruk nipis jeruk limau"
broccoli rice with grilled chicken ( menu sehat ),"bonggol brokoli , dada ayam bumbui dgn garam , lada , rosemary , kecap hitam , jamur king oyster , kentang rebus , bawang putih cincang menumis , garam , lada hitam , gula vetsin memperkuat , rosemary thyme kering"
ayam goreng kremes renyah + sambal trasi,"kilo ayam ayam broiler dada potong , daun salam , serai , daun jeruk , santan santan kemasan+air , minyak , bumbu dihaluskan , jsiung bawang putih , siun bawang meraih , biji ketumbar , merica bubuk , kemiri , kunyit , gula , garam , kremes , air rebusan ayam disaring , tepung sagu aq sagu tani , tepung beras , telur utuh , baking powder double acting aq hercules , gula garam , sambal terasi , cabe merah bole ditambah , cabe merah , bawamg putih , bawang merah , tomat , terasi , gula garam"
balado ayam,"fillet ayam , biji bawang bombai , cabe kering , bumbu halus cabe bawang merah bawang putih kemiri merica garam , gula , kapulaga"
mie ayam,"ayam fillet , ceker ayam , suka tetelan ayam , minyak ayam , kulit ayam , minyak goreng , bawang putih cincang , tambahan , mie kuning , sawi , daun bawang , daun seledri , serai geprek , daun jeruk , daun salam , laos geprek , bawang goreng , kecap manis , kecap asin , sambal , cabe rawit , bawang putih , bumbu dihaluskan , bawang merah , bawang putih , jahe , kunyit , kemiri , merica bubuk"
chicken wings `` saori '' super simple,"sayap ayam , bawang putih , saori saus tiram , saori saus teriyaki , lada"
tim ayam bawang,"ayam potong potong , bawang merah tipis , bawang putih tipis , batang daun bawang potong serong , bawang bombai , jahe , penyedap ayam secukup nya"
ayam richeese saos fire & keju,"adonan ayam crispy , tepung , sayap ayam , telur ayam kocok lepas , saos fire , saos sambal , saos tomat , saos barbeque delmonte , minyak wijen , saos tiram , bawang putih geprek , bon cabe , kecap manis , saos keju , susu uht full cream , keju parut chedar , maizena larutkan air , margarin"
sup kembang tahu+bakso ayam,"kembang tahu kering , wortel potong dadu , ceker ayam , bakso ayam , ltr air , garam merica , daun bawang"
ayam jamur barbecue,"sayap ayam , jamur campion , bawang bombai , bawang putih , saus kikoman , saus tiram , saus barbecue , kecap manis , sejumput merica garam , minyak , air"
ayam bumbu kuning,"sayap ayam potong , kelapa parut , bawang merah , bawang putih , kunyit kunyit , garam , merica , pala bubuk , air , minyak goreng , serai memarkan , salam , lengkuas"
soto ayam kampung,"ayam kampung , serai geprek , daun jeruk , daun seledri , daun bawang , bawang goreng , jeruk nipis , bumbu dihaluskan , bawang merah , bawang putih , kunyit , jahe , laos , merica bubuk , pelengkap , bihun soun , gubis , kecambah"
mie ayam by dapur mama r & m,"ayam separuh dada ayam , mie telor , pokcoy , daun bawang , daun salam , air , gula , garam , kecap , penyedap , bawang putih , bawang putih geprek , bawang merah , ketumbar , kemiri , kunyit , lada"
steak ayam saos lada hitam,"filetan dada ayam , bumbu ayamnya , lada hitam , royco ayam , bubuk bawang putih , tepung , tepung , lada , royco , bawang putih , telur , minyak , wijen hiasan , wortel , kentang , buncis lalapan , saos , saos tiram , bawang bombai , bawang putuh , royco , gulpas , lada , larutan meizena , air"
ayam saos nanas pedas manis,"dada ayam filet , tepung maizena , kecap asin , saos pedas , minyak wijen , kecap manis , saos tiram , lada , bawang putih , bawang bombai potong kotak , paprika potong kotak cabe merah , bbrp potong nanas , gula garam"
ayam santan ngamuk,"ayam , potong , bawang putih , bawang merah , cabe merah , gula merah , kecap manis , daun jeruk , kemiri , goreng , jeruk limau , lada , santan kental , gula pasir , garam , air"
ayam asam manis,"ayam potong , tepung , biji telur , saos , cabe merah buang biji , memanjang , bawang bombai , bawang putih , wortel memanjang , kacang polong , saus tomat , saos sambal , tepung maizena dilarutkan"
ayam bumbu betutu,"ayam kampung , bawang merah , bawang putih , lengkuas , cabe rawit merah , cabe merah , kemiri , kunyit , ketumbar , terasi abc , serai , daun jaruk , daun salam"
ayam kecap manis cabai,"ayam , bw putih , geprek cincang , cabe merah , serong , merica bubuk , kecap manis , air , garam , minyak sayur , daun bawang , utk taburan"
spicy chicken wings keto/low carb,"sayap ayam belah , bumbu rendam , bawang putih haluskan bawang putih powder kl , blm , lada lada hitam , garam , cabe bubuk , tambahkan pedas , bumbu siram , s butter , s kecap tropicana slim , kecap asin , cabe bubuk , garam , air matang , minyak goreng"
ayam pedas kemangi,"ayam , daun kemangi , serai geprak , daun salam , daun jeruk , laos geprak , jeruk nipis , gula , garam , merica bubuk , kaldu ayam , bumbu halus , bawang putih , bawang merah , cabe merah , cabe rawit , kemiri , biji ketumbar , jahe , kunyit"
sup ayam segarrrrr,"dada ayam n kotak dadu , air , garam halus , gula pasir , merica , daun bawang , n , seledri , n , serai , n geprek , daun salam , daun jeruk , jahe , kupas , n geprek , bumbu digoreng layu , bawang merah kupas n , bawang putih kupas n , sayuran , wortel kupas , n , kembang kol , petik kuntumnya n , kentang kupas n n , buncis , bersihkan pinggirnya n"
steak ayam panir keju,"dada ayam filet , tepung terigu , telur kocok lepas , cabe bubuk , tepung panir , keju parut blh , marinate , susu cair , garam , merica , bawang putih , haluskan"
grilled chicken breast,"potong dada ayam fillet , bawang bombai memanjang , paprika merah memanjang , bawang putih cincang , keju melted , garam , lada , minyak sayur olive , hiasan , selada , tomat"
sambal ayam penyet,"ayam goreng resep ungkepnya resep , daun singkong klop banget sm lalapan rebusan daun singkong loh , cabe orens , bawang putih , minyak panas , royco sapi , garam , gula pasir ga pengen pedas pake gula dikit"
chicken pop bumbu sambel bawang tumis,"dada ayam , jeruk nipis , tepung , sambel , bawang merah , bawang putih , biji cabe rawit , biji cabe keriting , tomat , minyak goreng , garam , mecin , gula , terasi"
ayam ukep bumbu bebek,"ayam segar , bawang merah , bawang putih , ketumbar , kunir , jahe ayam tdk amis , serai digeprek , daun jeruk , lengkuas , jmlh krn gaada parutan , garam"
soto ayam special,"ayam kampung , jeroan ayam , kentang , telur ayam , bawang merah taburan , bawang putih taburan , toge , seledri , jeruk nipis , bumbu , bawang merah , bawang putih , lengkuas , kunyit , kemiri , jahe , serai , daun jeruk"
soto ayam,"ayam , bumbu , bawang merah , bawang putih , kunyit , lengkuas , jahe , gula , garam , kaldu ayam , lada , ketumbar , serai geprek , daun salam , isian , kol tipis , daun sop , tauge , bawang goreng"
nugget ayam simpel,"ayam giling , bawang merah , bawang putih , tepung kanji , tepung oatmeal , telur ayam , brokoli , wortel , garam , kaldu jamur , celup , telur , tepung roti"
ayam goreng ala kentucky,"ayam negeri potong , tepung terigu segitiga biru , tepung maizena , bawang putih halus bawang putih powder , baking powder , garam , lada , lada hitam dihaluskan , biji ketumbar , kaldu bubuk , cabe bubuk , telur ayam , dancow putih , cuka dapur jeruk nipis lemon , air hangat"
opor ayam kuah susu,"ayam , bawang merah , bawang putih , cabe merah , cabe rawit merah utuh , kemiri , kunyit , jahe , daun salam , biji ketumbar , jinten , lada , garam , gula pasir , kaldu bubuk ayam , susu cair ultra low fat , air mateng"
ayam krispy sambal matah,"ayam krispy , paha atas ayam , tepung bumbu merek , telur ayam , jeruk nipis , garam , merica , penyedap , sambal matah , bawang merah , cabe rawit , terasi , minyak goreng , jeruk nipis , garam , gula , penyedap"
ayam suwir sambal matah,"ayam , bawang merah , cabai merah , cabai rawit , terasi abc dibakar haluskan , daun jeruk , serai , jeruk limau , garam , gula , penyedap , minyak menumis"
ayam brokoli saus teriyaki,"dada ayam , brokoli , bawang bombai , bawang putih , bawang merah , cabe merah , cabe rawit ijo , pake cabe rawit pedas gk , saos teriyaki saori , saos tiram , royco , gula , garam"
ayam kfc ala nr,"tepung roti , tepung bumbu sajiku , telur , ayam , air es , garam , lada , ltr myk grg"
karii ayam simple,"dada ayam potong dadu , wortel potong dadu , kentang potong dadu , kol , bumbu halus , bawang merah , bawang putih , kemiri , jahe , ketumbar , cabe rawit , cabe merah , kunyit , santan cair , kaldu bubuk , garam , gula lada"
ayam kampung santan ( krebek kuning ),"ayam kampung , bumbu halus , bawang merah , bawang putih , kemiri , cabe merah tambahin , jahe kunyit , bumbu pelengkap , serai geprek , daun salam , cabe rawit biarkan utuh , lengkuas , garam gula , asam jawa , air kaldu"
risol sayuran + daging ayam,"kulit , terigu , sagu , telur kocok , air , isian , potong daging ayam , potong wortel , kentang potong , goreng dl , daun bawang , bamer , bawang putih , royco , lada , garam , gula , tambahan , telur , tepung panir"
soto ayam kediri,"ayam ayam kampung enak , ceker tulang , batang daun bawang , serai , daun salam , daun jeruk , lengkuas , santan suka santan kental kuahnya , penyedap , garam , pelengkap , batang daun sledri cincang halus , kol halus , tauge kecambah kacang hijau , kentang tipis tipis goreng kering , tahu goreng , tipis , tomat potong , bawang goreng taburan , kecap manis , bumbu halus , bawang merah , bawang putih , kunyit , jahe , kencur , merica , ketumbar , kemiri"
ayam rica crispy,"fillet ayam , tepung maizena , tepung terigu , telur , bawang putih cincang , bawang bombai , cabai rawit merah tipis , tomat , batang daun bawang , saus cabai , saus tomat , saus tiram , minyak wijen , air , air jeruk nipis marinasi ayam , garam , gula , merica"
ayam mentega,"sayap ayam , bawang merah , bawang putih , cabai merah , laos , merica , gula , garam , saos tiram , mentega , daun bawang , kecap manis"
ayam ungkep bumbu kuning,"potong ayam , bumbu halus , bawang merah , bawang putih , jahe , kunyit , kencur , laos , biji ketumbar , lada , bumbu pelengkap , daun jeruk , daun salam , serai , garam , air"
ayam kecap pedas,"ayam , bawang putih , cabe gendot , cabe rawit domba ditambah , saos cabe botol pake merk indofood , kecap manis , garam , gula , merica"
chicken wings cola,"potong sayap ayam , potong , coca cola , pasta tomat ato saos tomat , bawang putih , cincang halus , jahe , geprek , garam , gula pasir merica , suka pedas , ditambah cabai bubuk ato saos sambel"
ayam suir kecap,"ayam , kecap manis pake kecap bangau lbih kental , empela ayam , cabe rawit , cabe merah iria tipis , bawang merah , bawang putih , bawang bombai tipis , kemiri , lada , penyedap ayam , serai , daun salam , tomat tipis , garam , minyak utk menumis"
suwir ayam balado,"ayam , bawang putih , bawang merah , cabai merah , daun jeruk , garam , gula , penyedap royko ayam or masako ayam"
mie ayam abang,"ayam kecap , potong dada ayam , potong dadu , lengkuas , geprek , jahe , geprek , daun salam , daun jeruk , kecap manis , gula pasir , garam , bumbu halus ayam kecap , bawang merah , bawang putih , merica , kunyit bubuk giling , biji ketumbar , kemiri , serai , ambil putihnya , minyak ayam , minyak goreng , bawang putih , kulit ayam , kuah , air , tulang ayam , garam , daun bawang , sambal , cabe rawit merah , cabe merah keriting , bawang putih , garam , pelengkap , porsi mie , rebus , sawi , potong & rebus , daun bawang , saos sambal belibis"
bubur ayam bumbu kuning,"bubur , beras , air , santan kara , daun salam , serai geprek , garam , bumbu kuning , bawang merah , bawang putih , jahe , kemiri , serai geprek , kunyit , garam , merica , kaldu bubuk , air , minyak menumis , pelengkap , ayam suwir , bawang goreng , seledri , kerupuk bawang"
pentol ayam bumbu kecap,"ayam , bawang merah , bawang putih , garam , gula , masako , telur ayam , tepung kanji , daun sop , lombok merah , lombok hijau , pala , ketumbar , blue band menumis , kecap manis , tomat , air"
germasem ayam kampung,"ayam kampung , bawang merah , bawang putih , kemiri , cabe , cabe rawit cengek , merica bubuk , jahe , lengkuas laos , daun salam , daun jeruk , serai digeprek , tomat , gula pasir , garam , penyedap suka"
sup ayam brokoli,"bonggol brokoli , sayap ayam , batang wortel , potong , kentang , potong dadu , batang seledri , batang daun bawang , bawang merah , bawang putih , garam bubuk"
sambal ayam gecok sederhana,"ayam goreng me paha , sambal , cabe rawit , bawang putih , bawang merah , jeruk limo , tomat me tomat cherry , royco , gula , penyedap"
kuah soto ayam simple,"bumbu halus , bawang putih , ketumbar , lada , kemiri , kunyit , ayam dada , potong , salam , daun jeruk ditambah jg bs kalo anak suka bau na , serai geprek , jahe , batang daun bawang seledri potong , bawang goreng , garam kaldu bubuk , gayung air utk merebus , minyak utk menumis bumbu"
ayam serundeng,"ayam potong , kelapa parut , daun salam , bumbu halus , kunyit , lengkuas , bawang merah , bawang putih , kemiri , ketumbar , garam , air minyak goreng"
kare ayam,"ayam , santan kental , air , daun jeruk , serai , memarkan , royco ayam , gula , bumbu halus , bawang merah , bawang putih , kemiri , ketumbar , kunyit , jahe , merica bubuk , garam"
ayam jamur lada hitam,"ayam fillet , jamur kancing , brokoli , bawang bombai , lada , kecap manis , saus tiram , saus sambal , kecap asin , garam , gula , jahe , tepung maizena larutkan air , bawang putih cincang halus , air"
ayam geprek bensu,"ayam , tepung sasa kentucky , telur , bumbu halus , bawang putih , merica , garam , penyedap m c , minyak goreng , bumbu sambel , cabai krting merah no rawit anak ikutan makan jg , bawang putih , tomat , garam , gula"
ayam goreng serundeng,"ayam potong , kelapa parut , bsk royko bumbu ayam goreng , kunyit , laja , daun salam , serai , bawang putih , bawang merah , lemon , garam"
ayam kfc kw by queen,"ayam potong , bawang putih , garam , royco , merica , tepung tapioka , tepung terigu , telur kocok"
ayam lodoh ala uti,"ayam kampung , bamer enak , bawang putih , lombok , jahe , laos , kencur , kunyit , serai , daun salam , daun jeruk , cabe rawit putih , ketumbar , jinten , lada putih , gula , garam , santan kelapa"
chiken krispi simple,"daging ayam , tepung terigu , telor ayam , bawang putih , garam , lada , ketumbar , minyak goreng"
tongseng ayam praktis,"ayam , kol , cabai rawit , tangkai daun bawang , bumbu , bawang putih , bawang merah , daun jeruk , laos geprek , kunyit , jahe , serai , santan sasa instan , garam , gula pasir , royco , lada , kecap & air"
